sr_no,severity,check_type,vendor,pan,section,amount,finding,remediation,status
1,ERROR,pan_validation,Adi Debnath,AAAAA0001A,194A,,"Invalid/missing PAN for Adi Debnath — Section 206AA requires TDS at 20.0% (applied 10%). Potential short deduction: ₹8,246.",Manual review required.,Open
2,ERROR,pan_validation,Adi Debnath,AAAAA0001A,194A,,"Invalid/missing PAN for Adi Debnath — Section 206AA requires TDS at 20.0% (applied 10%). Potential short deduction: ₹8,575.",Manual review required.,Open
3,ERROR,pan_validation,Adi Debnath,AAAAA0001A,194A,,"Invalid/missing PAN for Adi Debnath — Section 206AA requires TDS at 20.0% (applied 10%). Potential short deduction: ₹8,813.",Manual review required.,Open
4,ERROR,pan_validation,Adi Debnath,AAAAA0001A,194A,,"Invalid/missing PAN for Adi Debnath — Section 206AA requires TDS at 20.0% (applied 10%). Potential short deduction: ₹8,821.",Manual review required.,Open
5,ERROR,partial_tds,Sahib S Choudhary & Co.,,194J(b),30000.0,"Vendor Sahib S Choudhary & Co. has Form 26 entry under 194J(b) but additional ₹30,000 in books (Audit Fees) is not covered. TDS may be short-deducted.",Manual review required.,Open
6,ERROR,tds_timing,Adi Debnath,AAAAA0001A,194A,,"Late TDS deduction on Adi Debnath (194A): Expense on 19-Mar-2025, TDS deducted on 31-Mar-2025 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹88 (8,821 × 1% × 1 months).",Manual review required.,Open
7,ERROR,tds_timing,Asha Negi,AAAAA0002A,194A,,"Late TDS deduction on Asha Negi (194A): Expense on 19-Mar-2025, TDS deducted on 31-Mar-2025 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹133 (13,315 × 1% × 1 months).",Manual review required.,Open
8,ERROR,tds_timing,Manisha Kumari,AAAAA0003A,194A,,"Late TDS deduction on Manisha Kumari (194A): Expense on 19-Mar-2025, TDS deducted on 31-Mar-2025 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹261 (26,131 × 1% × 1 months).",Manual review required.,Open
9,ERROR,tds_timing,Suresh Sethia,AAAAA0004A,194A,,"Late TDS deduction on Suresh Sethia (194A): Expense on 19-Mar-2025, TDS deducted on 31-Mar-2025 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹509 (50,930 × 1% × 1 months).",Manual review required.,Open
10,ERROR,tds_timing,Rupa Khaitan,AAAAA0007A,194A,,"Late TDS deduction on Rupa Khaitan (194A): Expense on 19-Mar-2025, TDS deducted on 31-Mar-2025 (12 days late, 1 month(s)). Interest u/s 201(1A): ₹21 (2,064 × 1% × 1 months).",Manual review required.,Open
